Quantity,Name
1,Tiamat's Fanatics
1,Mirkwood Bats
1,"Yahenni, Undying Partisan"
1,Ghost Lantern // Bind Spirit
1,Vicious Shadows
1,Venomcrawler
1,Zulaport Cutthroat
1,"Chandra, Flameshaper"
1,"Mari, the Killing Quill"
1,Deadly Rollick
1,Demand Answers
1,"Kamber, the Plunderer"
1,Immolating Gyre
1,"Gimli, Counter of Kills"
1,Bastion of Remembrance
1,Blood Artist
1,Weatherlight Compleated
1,Vindictive Vampire
1,Flamerush Rider
1,"Deadpool, Trading Card"
1,Greed
1,Blasphemous Act
1,Vein Ripper
1,Mayhem Devil
1,Spiteful Prankster
1,"Arguel's Blood Fast // Temple of Aclazotz"
1,Saw in Half
1,Vandalblast
